index,Connectivity,Matrix,Adj List
0,0,0.002261,0.000909
1,1,0.000775,0.000573
2,2,0.000770,0.000586
3,3,0.000767,0.000632
4,4,0.000762,0.000577
5,5,0.000759,0.000577
6,6,0.000805,0.000714
7,7,0.000771,0.000595
8,8,0.000749,0.000604
9,9,0.000754,0.000591
10,10,0.000758,0.000584
11,11,0.000755,0.000599
12,12,0.000771,0.000597
13,13,0.000763,0.000609
14,14,0.000806,0.000602
15,15,0.000758,0.000618
16,16,0.000859,0.000614
17,17,0.000780,0.000633
18,18,0.000770,0.000632
19,19,0.000759,0.000620
20,20,0.000756,0.000713
21,21,0.000777,0.000645
22,22,0.000759,0.000641
23,23,0.000761,0.000625
24,24,0.000752,0.000636
25,25,0.000862,0.000740
26,26,0.000767,0.000642
27,27,0.000780,0.000641
28,28,0.000756,0.000670
29,29,0.000795,0.000695
30,30,0.000778,0.000643
31,31,0.000763,0.000653
32,32,0.000764,0.000785
33,33,0.000812,0.000670
34,34,0.000763,0.000660
35,35,0.000786,0.000673
36,36,0.000774,0.000664
37,37,0.000986,0.000714
38,38,0.000767,0.000683
39,39,0.000922,0.000769
40,40,0.000779,0.000713
41,41,0.000767,0.000678
42,42,0.000835,0.000703
43,43,0.000757,0.000690
44,44,0.000792,0.000695
45,45,0.001353,0.000748
46,46,0.000785,0.000707
47,47,0.000773,0.000703
48,48,0.000766,0.000700
49,49,0.000764,0.000720
50,50,0.000764,0.000704
51,51,0.000861,0.000917
52,52,0.000784,0.000723
53,53,0.000768,0.000719
54,54,0.000785,0.000716
55,55,0.000822,0.000825
56,56,0.000774,0.000702
57,57,0.000762,0.000842
58,58,0.000798,0.000906
59,59,0.000774,0.000733
60,60,0.000758,0.000741
61,61,0.000944,0.000773
62,62,0.000773,0.000721
63,63,0.000759,0.000737
64,64,0.000925,0.000834
65,65,0.000775,0.000879
66,66,0.000774,0.000728
67,67,0.000766,0.000742
68,68,0.000800,0.000936
69,69,0.000776,0.000738
70,70,0.000778,0.000735
71,71,0.000764,0.000759
72,72,0.000797,0.000766
73,73,0.000767,0.000840
74,74,0.000762,0.000749
75,75,0.000770,0.000742
76,76,0.000869,0.000799
77,77,0.000762,0.000750
78,78,0.000823,0.000771
79,79,0.001145,0.000798
80,80,0.000772,0.000767
81,81,0.000771,0.000785
82,82,0.000831,0.000800
83,83,0.000770,0.000763
84,84,0.000765,0.000765
85,85,0.000768,0.000768
86,86,0.000775,0.000773
87,87,0.000754,0.000781
88,88,0.000774,0.000757
89,89,0.000759,0.000765
90,90,0.000764,0.000783
91,91,0.000765,0.000778
92,92,0.000791,0.000790
93,93,0.001378,0.001380
94,94,0.000760,0.000824
95,95,0.000770,0.000776
96,96,0.000761,0.000806
97,97,0.000791,0.000798
98,98,0.000754,0.000781
99,99,0.000766,0.000884
100,100,0.000802,0.000874
101,101,0.000836,0.000879
102,102,0.000790,0.000822
103,103,0.000787,0.000828
104,104,0.000799,0.000813
105,105,0.001307,0.001252
106,106,0.000848,0.000977
107,107,0.000811,0.000912
108,108,0.000803,0.000870
109,109,0.000827,0.001114
110,110,0.000809,0.000964
111,111,0.000816,0.000901
112,112,0.000815,0.000934
113,113,0.000801,0.000947
114,114,0.000773,0.000847
115,115,0.000816,0.000943
116,116,0.000778,0.000842
117,117,0.000933,0.001139
118,118,0.000818,0.000967
119,119,0.001399,0.001674
120,120,0.001501,0.001790
121,121,0.000886,0.001292
122,122,0.001372,0.001034
123,123,0.000817,0.001047
124,124,0.001183,0.000975
125,125,0.000828,0.000988
126,126,0.000855,0.001100
127,127,0.000801,0.000898
128,128,0.000840,0.000990
129,129,0.000852,0.001129
130,130,0.000797,0.000905
131,131,0.000829,0.001128
132,132,0.000811,0.001001
133,133,0.000815,0.000947
134,134,0.000837,0.001055
135,135,0.000849,0.001089
136,136,0.000837,0.001176
137,137,0.000907,0.002245
138,138,0.000850,0.001014
139,139,0.000854,0.001234
140,140,0.000833,0.000947
141,141,0.000843,0.001180
142,142,0.000795,0.000982
143,143,0.000807,0.000959
144,144,0.000807,0.001186
145,145,0.000821,0.000971
146,146,0.000845,0.001452
147,147,0.000849,0.000996
148,148,0.000837,0.001133
149,149,0.000822,0.000984
150,150,0.000852,0.000991
151,151,0.000815,0.000974
152,152,0.000827,0.000998
153,153,0.000805,0.001014
154,154,0.000826,0.001237
155,155,0.000797,0.001012
156,156,0.000831,0.001019
157,157,0.000819,0.001086
158,158,0.000826,0.001032
159,159,0.000807,0.001043
160,160,0.000826,0.001118
161,161,0.000838,0.001080
162,162,0.000833,0.001017
163,163,0.000815,0.001003
164,164,0.000832,0.001118
165,165,0.000831,0.001104
166,166,0.000805,0.000968
167,167,0.000814,0.001044
168,168,0.000863,0.001262
169,169,0.000860,0.001081
170,170,0.000952,0.001189
171,171,0.000843,0.001108
172,172,0.000816,0.001072
173,173,0.000835,0.001034
174,174,0.000789,0.000992
175,175,0.000837,0.001081
176,176,0.000806,0.001044
177,177,0.000826,0.001058
178,178,0.000841,0.001200
179,179,0.000843,0.001165
180,180,0.000872,0.001241
181,181,0.000862,0.001205
182,182,0.000856,0.001014
183,183,0.000813,0.001005
184,184,0.000838,0.001059
185,185,0.000846,0.001263
186,186,0.000823,0.001104
187,187,0.000835,0.001169
188,188,0.000815,0.001098
189,189,0.000846,0.001102
190,190,0.000833,0.001095
191,191,0.000794,0.001040
192,192,0.000822,0.001133
193,193,0.000834,0.001167
194,194,0.000842,0.001045
195,195,0.000818,0.001111
196,196,0.000836,0.001159
197,197,0.000808,0.001117
198,198,0.000836,0.001247
199,199,0.000812,0.001064
200,200,0.000858,0.001123
201,201,0.000940,0.001572
202,202,0.001520,0.001389
203,203,0.000836,0.001020
204,204,0.000842,0.001253
205,205,0.000806,0.001117
206,206,0.000850,0.001420
207,207,0.000812,0.001101
208,208,0.001378,0.002084
209,209,0.000873,0.001128
210,210,0.000843,0.001231
211,211,0.000838,0.001145
212,212,0.000827,0.001273
213,213,0.000926,0.001061
214,214,0.000838,0.001250
215,215,0.000802,0.001163
216,216,0.000811,0.001152
217,217,0.000835,0.001280
218,218,0.000830,0.001239
219,219,0.000851,0.001296
220,220,0.000797,0.001151
221,221,0.000889,0.001424
222,222,0.000827,0.001178
223,223,0.000849,0.001441
224,224,0.000825,0.001087
225,225,0.000819,0.001151
226,226,0.000823,0.001267
227,227,0.000817,0.001232
228,228,0.000843,0.001265
229,229,0.000839,0.001350
230,230,0.000836,0.001145
231,231,0.000816,0.001212
232,232,0.000826,0.001267
233,233,0.000825,0.001348
234,234,0.000862,0.001367
235,235,0.000866,0.001392
236,236,0.000808,0.001181
237,237,0.000831,0.001183
238,238,0.000881,0.001418
239,239,0.000829,0.001191
240,240,0.000807,0.001239
241,241,0.000822,0.001232
242,242,0.000808,0.001242
243,243,0.000831,0.001380
244,244,0.000812,0.001254
245,245,0.000864,0.001400
246,246,0.000835,0.001302
247,247,0.000838,0.001363
248,248,0.000849,0.001318
249,249,0.000867,0.001473
250,250,0.000851,0.001241
251,251,0.000837,0.001435
252,252,0.000825,0.001189
253,253,0.000855,0.001605
254,254,0.000915,0.001313
255,255,0.000878,0.001475
256,256,0.000955,0.001574
257,257,0.000936,0.001503
258,258,0.000815,0.001178
259,259,0.000865,0.001288
260,260,0.000823,0.001194
261,261,0.001536,0.002101
262,262,0.001571,0.001610
263,263,0.000863,0.001442
264,264,0.000937,0.001466
265,265,0.000849,0.001404
266,266,0.000831,0.001243
267,267,0.000853,0.001525
268,268,0.000853,0.001326
269,269,0.000848,0.001442
270,270,0.000824,0.001369
271,271,0.000883,0.001353
272,272,0.000836,0.001327
273,273,0.000836,0.001171
274,274,0.000834,0.001257
275,275,0.000848,0.001573
276,276,0.000825,0.001333
277,277,0.000854,0.001442
278,278,0.001003,0.001294
279,279,0.000896,0.001454
280,280,0.000870,0.001518
281,281,0.000885,0.001393
282,282,0.000845,0.001380
283,283,0.000977,0.001562
284,284,0.000856,0.001549
285,285,0.000836,0.001323
286,286,0.000846,0.001344
287,287,0.000833,0.001360
288,288,0.000842,0.001337
289,289,0.000839,0.001255
290,290,0.000832,0.001372
291,291,0.000910,0.001298
292,292,0.000843,0.001302
293,293,0.000820,0.001383
294,294,0.000851,0.001875
295,295,0.000834,0.001386
296,296,0.000818,0.001183
297,297,0.000863,0.001384
298,298,0.000966,0.001565
299,299,0.000830,0.001231
300,300,0.000859,0.001241
301,301,0.000862,0.001639
302,302,0.000872,0.001524
303,303,0.000856,0.001320
304,304,0.000849,0.001506
305,305,0.000831,0.001268
306,306,0.000849,0.001337
307,307,0.000862,0.001585
308,308,0.001467,0.002637
309,309,0.001655,0.002913
310,310,0.001603,0.003769
311,311,0.001733,0.002934
312,312,0.001701,0.002688
313,313,0.001598,0.002603
314,314,0.001676,0.002839
315,315,0.001790,0.002741
316,316,0.001703,0.003419
317,317,0.001755,0.003255
318,318,0.001708,0.002834
319,319,0.001604,0.002462
320,320,0.001624,0.002478
321,321,0.001588,0.003098
322,322,0.001642,0.002901
323,323,0.001722,0.002816
324,324,0.001675,0.002643
325,325,0.001615,0.003145
326,326,0.001729,0.004622
327,327,0.001585,0.002399
328,328,0.004645,0.002614
329,329,0.001661,0.002860
330,330,0.001729,0.002862
331,331,0.001950,0.002657
332,332,0.002455,0.003132
333,333,0.001568,0.002731
334,334,0.002776,0.006292
335,335,0.001635,0.002719
336,336,0.001737,0.002652
337,337,0.001670,0.002710
338,338,0.001670,0.002701
339,339,0.001713,0.003389
340,340,0.001655,0.002878
341,341,0.001645,0.002677
342,342,0.001633,0.002853
343,343,0.001615,0.007714
344,344,0.001786,0.003034
345,345,0.001869,0.006936
346,346,0.001681,0.003072
347,347,0.001725,0.002443
348,348,0.001658,0.002769
349,349,0.001669,0.003105
350,350,0.001626,0.008803
351,351,0.003065,0.004741
352,352,0.001583,0.002734
353,353,0.001760,0.003146
354,354,0.001669,0.002825
355,355,0.001735,0.002819
356,356,0.003934,0.003142
357,357,0.001643,0.002674
358,358,0.001724,0.002904
359,359,0.001451,0.002717
360,360,0.001721,0.003099
361,361,0.007879,0.005376
362,362,0.001729,0.003222
363,363,0.001708,0.003212
364,364,0.001677,0.005099
365,365,0.001688,0.002770
366,366,0.001640,0.002626
367,367,0.001741,0.002519
368,368,0.001688,0.003361
369,369,0.001660,0.003187
370,370,0.001670,0.002647
371,371,0.001531,0.013853
372,372,0.001854,0.003551
373,373,0.001526,0.002815
374,374,0.001744,0.003223
375,375,0.001731,0.003155
376,376,0.001684,0.002970
377,377,0.024131,0.013001
378,378,0.001656,0.007886
