,Size,Time taken
0,2,0.000027
1,3,0.000055
2,4,0.000031
3,5,0.000035
4,6,0.000045
5,7,0.000056
6,8,0.000063
7,9,0.000068
8,10,0.000079
9,11,0.000092
10,12,0.000206
11,13,0.000101
12,14,0.000117
13,15,0.000150
14,16,0.000141
15,17,0.000202
16,18,0.000213
17,19,0.000185
18,20,0.000305
19,21,0.000208
20,22,0.000224
21,23,0.000241
22,24,0.000248
23,25,0.000262
24,26,0.000403
25,27,0.000310
26,28,0.000348
27,29,0.000409
28,30,0.000371
29,31,0.000387
30,32,0.000479
31,33,0.000423
32,34,0.000452
33,35,0.000478
34,36,0.000482
35,37,0.000497
36,38,0.000646
37,39,0.000628
38,40,0.000595
39,41,0.000603
40,42,0.000651
41,43,0.000682
42,44,0.000747
43,45,0.000741
44,46,0.000885
45,47,0.000789
46,48,0.000992
47,49,0.000981
48,50,0.000937
49,51,0.000922
50,52,0.000945
51,53,0.001187
52,54,0.001064
53,55,0.001158
54,56,0.001041
55,57,0.001120
56,58,0.001120
57,59,0.001259
58,60,0.001448
59,61,0.001324
60,62,0.001566
61,63,0.001498
62,64,0.001671
63,65,0.001440
64,66,0.001424
65,67,0.001514
66,68,0.001942
67,69,0.001639
68,70,0.002066
69,71,0.001634
70,72,0.001700
71,73,0.002645
72,74,0.001719
73,75,0.002144
74,76,0.002429
75,77,0.003005
76,78,0.002076
77,79,0.002130
78,80,0.002923
79,81,0.002337
80,82,0.002746
81,83,0.002321
82,84,0.002496
83,85,0.002488
84,86,0.002518
85,87,0.002327
86,88,0.002318
87,89,0.002478
88,90,0.002502
89,91,0.002505
90,92,0.002943
91,93,0.003011
92,94,0.002854
93,95,0.002677
94,96,0.002773
95,97,0.002952
96,98,0.003620
97,99,0.003142
98,100,0.003091
99,101,0.003772
100,102,0.003640
101,103,0.003328
102,104,0.004196
103,105,0.003588
104,106,0.003545
105,107,0.003730
106,108,0.003604
107,109,0.003841
108,110,0.003880
109,111,0.004049
110,112,0.004008
111,113,0.004045
112,114,0.004041
113,115,0.004235
114,116,0.004852
115,117,0.004764
116,118,0.004406
117,119,0.004143
118,120,0.004827
119,121,0.004458
120,122,0.004770
121,123,0.004791
122,124,0.005572
123,125,0.005330
124,126,0.004940
125,127,0.005234
126,128,0.005172
127,129,0.004777
128,130,0.005009
129,131,0.005415
130,132,0.005320
131,133,0.005913
132,134,0.006056
133,135,0.006063
134,136,0.006190
135,137,0.005377
136,138,0.006519
137,139,0.006699
138,140,0.006605
139,141,0.007411
140,142,0.006809
141,143,0.006216
142,144,0.006314
143,145,0.006765
144,146,0.007218
145,147,0.007044
146,148,0.007779
147,149,0.006941
148,150,0.007488
149,151,0.006792
150,152,0.007660
151,153,0.007649
152,154,0.007358
153,155,0.007457
154,156,0.008203
155,157,0.007289
156,158,0.007628
157,159,0.007477
158,160,0.008272
159,161,0.007661
160,162,0.008508
161,163,0.008853
162,164,0.008310
163,165,0.008017
164,166,0.008435
165,167,0.008872
166,168,0.008815
167,169,0.008897
168,170,0.009865
169,171,0.009012
170,172,0.009476
171,173,0.010335
172,174,0.009610
173,175,0.010341
174,176,0.009085
175,177,0.009683
176,178,0.010191
177,179,0.010053
178,180,0.010816
179,181,0.011367
180,182,0.010356
181,183,0.010493
182,184,0.012331
183,185,0.010024
184,186,0.010719
185,187,0.010778
186,188,0.011022
187,189,0.011200
188,190,0.011066
189,191,0.011311
190,192,0.011137
191,193,0.011668
192,194,0.011494
193,195,0.011734
194,196,0.012061
195,197,0.012497
196,198,0.012305
197,199,0.012363
