index,Size,Time taken
0,2,0.000043
1,3,0.000031
2,4,0.000031
3,5,0.000037
4,6,0.000047
5,7,0.000047
6,8,0.000053
7,9,0.000060
8,10,0.000066
9,11,0.000072
10,12,0.000076
11,13,0.000083
12,14,0.000091
13,15,0.000090
14,16,0.000126
15,17,0.000138
16,18,0.000150
17,19,0.000173
18,20,0.000173
19,21,0.000176
20,22,0.000158
21,23,0.000200
22,24,0.000188
23,25,0.000234
24,26,0.000219
25,27,0.000210
26,28,0.000312
27,29,0.000253
28,30,0.000311
29,31,0.000359
30,32,0.000296
31,33,0.000334
32,34,0.000383
33,35,0.000309
34,36,0.000380
35,37,0.000408
36,38,0.000363
37,39,0.000434
38,40,0.000492
39,41,0.000515
40,42,0.000516
41,43,0.000529
42,44,0.000466
43,45,0.000509
44,46,0.000557
45,47,0.000540
46,48,0.000575
47,49,0.000605
48,50,0.000651
49,51,0.000663
50,52,0.000631
51,53,0.000795
52,54,0.000825
53,55,0.000791
54,56,0.000710
55,57,0.000792
56,58,0.000890
57,59,0.000919
58,60,0.000948
59,61,0.001209
60,62,0.001044
61,63,0.001041
62,64,0.001046
63,65,0.001060
64,66,0.001098
65,67,0.001112
66,68,0.001118
67,69,0.001140
68,70,0.001555
69,71,0.001189
70,72,0.001433
71,73,0.010809
72,74,0.008803
73,75,0.008668
74,76,0.001391
75,77,0.001429
76,78,0.001347
77,79,0.001566
78,80,0.001485
79,81,0.001313
80,82,0.001550
81,83,0.001618
82,84,0.001783
83,85,0.001591
84,86,0.003684
85,87,0.008832
86,88,0.001725
87,89,0.001623
88,90,0.001806
89,91,0.001870
90,92,0.001952
91,93,0.001979
92,94,0.001995
93,95,0.001905
94,96,0.002088
95,97,0.002181
96,98,0.002056
97,99,0.002246
98,100,0.002333
99,101,0.002178
100,102,0.002539
101,103,0.002732
102,104,0.009611
103,105,0.002217
104,106,0.002715
105,107,0.002533
106,108,0.004071
107,109,0.002811
108,110,0.005742
109,111,0.002651
110,112,0.002754
111,113,0.003050
112,114,0.002668
113,115,0.002703
114,116,0.004935
115,117,0.002933
116,118,0.003060
117,119,0.003416
118,120,0.003222
119,121,0.003242
120,122,0.003143
121,123,0.009730
122,124,0.003311
123,125,0.003420
124,126,0.003430
125,127,0.003378
126,128,0.003679
127,129,0.019158
128,130,0.003657
129,131,0.004891
130,132,0.002597
131,133,0.003146
132,134,0.002122
133,135,0.002158
134,136,0.002177
135,137,0.002207
136,138,0.002267
137,139,0.002678
138,140,0.002338
139,141,0.002344
140,142,0.002734
141,143,0.002465
142,144,0.002452
143,145,0.002479
144,146,0.002493
145,147,0.002540
146,148,0.002572
147,149,0.003223
148,150,0.002716
149,151,0.002890
150,152,0.005045
151,153,0.005361
152,154,0.005627
153,155,0.005221
154,156,0.007592
155,157,0.003648
156,158,0.004886
157,159,0.006031
158,160,0.011512
159,161,0.005473
160,162,0.005494
161,163,0.005630
162,164,0.005806
163,165,0.006248
164,166,0.007913
165,167,0.005691
166,168,0.005817
167,169,0.005990
168,170,0.006343
169,171,0.006101
170,172,0.006386
171,173,0.006091
172,174,0.006666
173,175,0.006911
174,176,0.006834
175,177,0.013071
176,178,0.007063
177,179,0.007826
178,180,0.006676
179,181,0.006925
180,182,0.007117
181,183,0.012219
182,184,0.013676
183,185,0.028211
184,186,0.008612
185,187,0.011920
186,188,0.007402
187,189,0.007523
188,190,0.009684
189,191,0.008112
190,192,0.008034
191,193,0.012376
192,194,0.027416
193,195,0.013835
194,196,0.016991
195,197,0.009095
196,198,0.008942
197,199,0.023709
