index,Size,Time taken
0,2,0.000038
1,3,0.000055
2,4,0.000046
3,5,0.000043
4,6,0.000061
5,7,0.000142
6,8,0.000105
7,9,0.000131
8,10,0.000132
9,11,0.000121
10,12,0.000144
11,13,0.000159
12,14,0.000163
13,15,0.000296
14,16,0.000348
15,17,0.000266
16,18,0.000260
17,19,0.000315
18,20,0.000281
19,21,0.000325
20,22,0.000324
21,23,0.000354
22,24,0.000396
23,25,0.000394
24,26,0.000426
25,27,0.000432
26,28,0.000506
27,29,0.000472
28,30,0.000540
29,31,0.000571
30,32,0.000635
31,33,0.000638
32,34,0.000692
33,35,0.000695
34,36,0.000715
35,37,0.000776
36,38,0.000765
37,39,0.000807
38,40,0.000915
39,41,0.000990
40,42,0.001082
41,43,0.001120
42,44,0.001021
43,45,0.001044
44,46,0.001164
45,47,0.001228
46,48,0.001221
47,49,0.001231
48,50,0.001335
49,51,0.001397
50,52,0.001330
51,53,0.001497
52,54,0.001512
53,55,0.001496
54,56,0.001619
55,57,0.001686
56,58,0.001725
57,59,0.001949
58,60,0.001769
59,61,0.001772
60,62,0.002299
61,63,0.002019
62,64,0.001960
63,65,0.002249
64,66,0.002012
65,67,0.002168
66,68,0.002345
67,69,0.002481
68,70,0.002404
69,71,0.002371
70,72,0.002398
71,73,0.002531
72,74,0.002705
73,75,0.002677
74,76,0.002754
75,77,0.005628
76,78,0.003010
77,79,0.003179
78,80,0.003241
79,81,0.003304
80,82,0.003565
81,83,0.003361
82,84,0.003565
83,85,0.005636
84,86,0.003379
85,87,0.003390
86,88,0.003883
87,89,0.003580
88,90,0.003985
89,91,0.004812
90,92,0.003802
91,93,0.003870
92,94,0.004403
93,95,0.004353
94,96,0.004270
95,97,0.004141
96,98,0.004265
97,99,0.004533
98,100,0.004492
99,101,0.004864
100,102,0.005126
101,103,0.004942
102,104,0.005480
103,105,0.004985
104,106,0.005028
105,107,0.005113
106,108,0.005231
107,109,0.005297
108,110,0.005353
109,111,0.005476
110,112,0.005782
111,113,0.005840
112,114,0.005882
113,115,0.006097
114,116,0.005891
115,117,0.006143
116,118,0.006442
117,119,0.006559
118,120,0.006597
119,121,0.008805
120,122,0.006371
121,123,0.019272
122,124,0.007344
123,125,0.007654
124,126,0.006903
125,127,0.008103
126,128,0.007301
127,129,0.008014
128,130,0.009592
129,131,0.007461
130,132,0.008093
131,133,0.008323
132,134,0.007845
133,135,0.007987
134,136,0.008008
135,137,0.008261
136,138,0.008355
137,139,0.008179
138,140,0.008411
139,141,0.008818
140,142,0.008621
141,143,0.008704
142,144,0.009092
143,145,0.010277
144,146,0.009961
145,147,0.010770
146,148,0.009634
147,149,0.010116
148,150,0.009672
149,151,0.009614
150,152,0.010394
151,153,0.010380
152,154,0.010104
153,155,0.017612
154,156,0.010526
155,157,0.010547
156,158,0.010966
157,159,0.010725
158,160,0.010709
159,161,0.010736
160,162,0.011475
161,163,0.012217
162,164,0.011605
163,165,0.011621
164,166,0.011877
165,167,0.013032
166,168,0.012520
167,169,0.012106
168,170,0.013558
169,171,0.012493
170,172,0.012704
171,173,0.012458
172,174,0.013216
173,175,0.014663
174,176,0.013498
175,177,0.013735
